raw,rawFiltered,average,std,stdstd
86047,86047,86047.0,0.0,0.0,2
79789,79789,82918.0,3129.0,1564.5,1
61068,61068,75634.66666666667,10612.303373391138,4452.358342210914,1
71267,71267,74542.75,9383.100936657349,4380.915669204946,2
93826,93826,78399.4,11398.643052574287,4516.970459854922,3
99478,99478,81912.5,13037.775024264432,4714.543875902947,1
98680,98680,84307.85714285714,13421.126048441813,4769.495486488497,2
99629,99629,86223.0,13538.286505315215,4738.4134614972145,3
101882,101882,87962.88888888889,13679.83500911262,4673.271384143031,4
101756,101756,89342.2,13621.548721052244,4579.289754646054,1
102220,102220,90512.90909090909,13504.973733302488,3143.6471403007445,1
104569,104569,91684.25,13501.039121273841,1460.1467255150812,1
104354,104354,92658.84615384616,13403.533872976324,1319.2480589836887,1
105407,105407,93569.42857142858,13326.714699184844,637.5585699451801,1
106607,106607,94438.6,13279.219177848272,175.92743604674075,1
106274,106274,95178.3125,13172.857580640723,148.18301401288048,2
106661,106661,95853.76470588235,13062.030594006214,187.8085569416679,3
107290,107290,96489.11111111111,12961.490915995431,224.2777532284642,4
106439,106439,97012.78947368421,12809.9348557403,247.4905647923568,5
105679,105679,97446.1,12627.632861704524,281.33886259439424,6
106430,106430,97873.90476190476,12470.93637949476,324.1320696550122,1
106016,106016,98244.0,12301.680783165733,359.3040649200061,2
105973,105973,98580.04347826086,12134.087563476276,396.04876001664917,3
107298,107298,98943.29166666666,12005.668534346483,422.64562321242613,4
106667,106667,99252.23999999999,11860.076375066057,436.50389390127094,5
106676,106676,99537.76923076922,11717.061528805867,444.07247977455114,6
108771,108771,99879.74074074073,11629.500882868384,436.80895554117967,7
109801,109801,100234.07142857142,11567.409312771106,409.68566098982984,8
108905,108905,100533.06896551723,11475.808507107267,376.71276010120056,9
108405,108405,100795.46666666666,11371.06410656257,347.85851947289586,10
108698,108698,101050.38709677418,11272.9600591556,319.6765480373982,11
108912,108912,101296.06249999999,11179.420316863205,296.68675216269014,12
110255,110255,101567.54545454544,11115.335295562723,277.3996250020449,13
110816,110816,101839.5588235294,11061.579780779048,255.65112982811155,14
111083,111083,102103.65714285713,11010.632048661897,237.45852406936334,15
112480,112480,102391.88888888888,10989.727948249823,221.7186242578953,16
114264,114264,102712.75675675675,11009.830959267432,197.06535578940426,1
113523,113523,102997.23684210525,11000.947371725984,163.39630358445143,2
114691,114691,103297.07692307691,11015.175865734387,125.14880072929458,3
115787,115787,103609.32499999998,11050.031785898858,87.77798587335332,4
116014,116014,103911.87804878048,11080.911942296667,57.01269180426066,1
118247,118247,104253.19047619046,11164.20081638094,53.67950417640383,2
119021,119021,104596.62790697673,11255.872197715926,80.6227004996467,3
119246,119246,104929.56818181818,11339.389384309356,115.40206193051014,4
120270,120270,105270.46666666666,11438.430728809695,151.17847161470797,5
120316,120316,105597.54347826086,11524.212146430482,181.92031069478844,1
121471,121471,105935.27659574468,11628.787689878118,213.38046463054079,2
122726,122726,106285.08333333333,11754.258033143662,243.12976892151937,3
122785,122785,106621.8163265306,11865.311399154985,267.31576494477395,4
123608,123608,106961.54,11984.368938262878,287.63490639126104,5
125213,125213,107744.86,11871.203174084761,268.58701521106883,6
126575,126575,108680.58,11467.81470741484,234.5820536668994,7
126693,126693,109993.08,9536.136949184407,666.3510635651592,1
128421,128421,111136.16,8150.389886036133,1193.3566286552314,1
128922,128922,111838.08,8140.642045539166,1481.297703522283,1
129557,129557,112439.66,8314.561045803926,1628.36783321022,1
131431,131431,113094.68000000001,8492.922301398976,1676.5127673996747,2
133475,133475,113771.6,8737.972684782211,1632.9160428057266,3
130932,130932,114352.6,8892.521601885488,1505.7272367188052,1
130233,130233,114922.14,8979.021109252391,1273.6566654949584,1
131343,131343,115504.6,9080.174341938598,929.9246272952389,1
130999,130999,116033.20000000001,9196.73473576356,445.6463916077752,1
131515,131515,116576.42000000001,9292.496446251676,407.11044116074453,2
131714,131714,117102.56000000001,9389.434200546912,401.0440277931254,3
131175,131175,117593.92000000001,9469.824481668074,361.7047257398394,4
130637,130637,118081.18000000001,9501.56725743706,313.9725581891599,1
129913,129913,118546.22,9500.260375989703,258.72725635739005,2
129856,129856,118997.54000000001,9490.807666811083,218.58590315668735,3
130691,130691,119482.58,9456.244918761358,181.03848677741482,1
131733,131733,120003.66,9398.921373455574,136.7228258769439,2
132751,132751,120530.08,9360.962215157158,95.30779814546054,3
132667,132667,121063.1,9277.738380122604,79.29892159980461,4
133649,133649,121616.62000000001,9186.072080905962,99.44923581436122,5
134029,134029,122151.24,9114.767561622182,132.04238959340293,6
132424,132424,122666.38,8951.479021681276,178.49509424903633,7
131886,131886,123170.58,8744.194751010524,237.8463916772618,8
131052,131052,123616.2,8564.913437974723,296.8946893980348,9
130231,130231,124024.8,8381.450041609745,352.5825994347752,1
131715,131715,124481.0,8164.018792237068,409.8462586250048,2
131744,131744,124947.78,7894.275592579726,475.33065201959965,1
130938,130938,125392.58,7586.717854487538,545.3606037409716,2
131522,131522,125844.78,7257.617268194844,620.8434020045875,1
132448,132448,126288.64,6963.276684894834,688.3288746758953,2
131703,131703,126706.38,6641.608961358685,743.7391266114045,1
130536,130536,127095.44,6274.641156783388,801.9464778816244,2
128530,128530,127416.44,5919.207562368461,861.1672524512054,3
127349,127349,127678.14,5613.277890894053,904.0061731054121,1
126254,126254,127932.76,5241.875719854485,938.4168624064081,2
125145,125145,128141.84,4907.351075111703,958.0392091660887,3
121572,121572,128257.54,4677.512438080736,952.3994820630136,4
119340,119340,128324.06,4524.0537857545405,919.6100468210054,5
118630,118630,128331.72,4507.278247634596,851.9451344648674,6
120143,120143,128354.16,4463.4477945193885,755.0817843113169,1
122427,122427,128417.78,4354.511643295949,645.5499376802912,2
124736,124736,128507.1,4230.505559622868,539.8553153090481,1
124917,124917,128599.12000000001,4099.341847858018,445.12188055385997,2
123088,123088,128631.46,4049.0498500759395,347.44325706887787,1
123968,123968,128656.3,4016.4232458743672,274.5767664946686,2
123500,123500,128670.6,3996.718218738968,233.489362506314,3
121688,121688,128632.20000000001,4053.9878687534315,203.51416175329783,1
120583,120583,128539.6,4181.89152417898,178.3252755657207,2
120760,120760,128423.3,4313.692326766014,151.9683639375808,3
121348,121348,128316.40000000001,4420.162046803261,144.1324452343449,4
122419,122419,128196.36000000002,4496.530955125294,166.68534881601676,5
123702,123702,128091.96000000002,4538.870524524796,197.73028444857084,6
123332,123332,127967.46000000002,4582.146105090932,220.7878161020692,7
123466,123466,127808.16000000002,4597.393510936387,228.32287035461374,8
123012,123012,127598.90000000002,4572.749594062637,215.01858276494778,9
122214,122214,127424.54000000002,4608.404201933682,183.24506742101943,10
124521,124521,127310.30000000002,4608.166712479056,137.16348381209716,11
125859,125859,127200.62000000002,4576.029151524281,91.37658680391809,12
123266,123266,127045.96000000002,4575.71786263096,55.84881777112558,1
122817,122817,126872.00000000001,4567.840579529899,31.96974716360945,2
125611,125611,126749.94000000002,4518.093852101796,27.143779324345875,3
126694,126694,126660.32000000002,4473.653962657377,39.810006747512624,4
125519,125519,126557.96000000002,4439.918327897491,54.80497860089428,5
126657,126657,126492.84000000003,4414.0349403238815,66.5631395829983,6
125311,125311,126401.94000000003,4390.576232842343,77.83889064964043,7
124475,124475,126277.62000000002,4355.231961170389,84.92162120568781,8
126012,126012,126163.20000000003,4284.990217025013,95.38514527792606,9
127125,127125,126050.68000000002,4183.180538489832,117.64738414185197,10
129025,129025,125977.84000000003,4098.183931255415,139.72545582700133,11
131203,131203,125928.92000000003,4020.17790571513,158.52087438397888,12
129323,129323,125834.80000000003,3882.1568077552056,189.87358235082024,1
126217,126217,125710.66000000003,3767.0016119455136,223.5623091786116,2
126682,126682,125606.58000000003,3665.4661427436627,253.47627985407092,3
128120,128120,125547.94000000003,3600.763393559775,271.45946087687696,4
129397,129397,125531.26000000004,3580.9081295671504,271.025821586212,5
131079,131079,125518.54000000004,3559.988315767358,254.82415681846084,6
131938,131938,125522.42000000004,3566.870342975773,225.66385437958985,7
131976,131976,125543.18000000004,3601.1854753122766,189.5533264337085,8
133030,133030,125573.34000000004,3657.01393275991,146.07425197105002,9
133425,,125573.34000000004,3657.01393275991,96.94995246359484,10
132562,,125573.34000000004,3657.01393275991,67.75528706026,1
133291,,125573.34000000004,3657.01393275991,78.09101042176533,2
133888,133888,125602.14000000004,3716.2311392592496,124.50482160972858,3
132692,132692,125621.92000000004,3751.1191761393156,169.8187458942583,4
130867,130867,125628.54000000004,3760.067138815489,201.90493462909686,1
130244,130244,125662.82000000004,3794.0229028829144,218.95306960198204,2
128999,128999,125695.82000000004,3815.659663492028,215.1085935179726,3
128395,128395,125738.64000000004,3833.6542971947915,193.0019887182322,4
128625,128625,125808.24000000005,3853.781833783548,169.0223459061449,5
129898,129898,125974.76000000005,3847.013603095272,153.08099409929642,6
130872,130872,126205.40000000005,3787.5555758298838,141.7874572416343,7
132892,132892,126490.64000000006,3743.0861692459093,135.67965417546776,8
133432,133432,126756.42000000006,3754.7109027993065,135.83763463451857,9
133036,133036,126968.60000000005,3803.5008294990494,132.7880943513282,10
134572,134572,127165.32000000005,3935.0303146989777,127.12540300167697,11
134110,134110,127349.18000000005,4039.075615484305,120.25370223584834,12
133465,133465,127556.72000000004,4081.1727434157815,114.5389227247805,13
134653,134653,127770.42000000004,4166.517591898524,115.77050234718872,14
133873,133873,127977.88000000005,4206.771815252149,112.99854368777423,15
132530,132530,128194.72000000004,4156.0911493373005,105.31592538852594,16
134022,134022,128463.50000000004,4089.1599589646544,101.96461325488518,17
135711,135711,128762.52000000005,4061.460708858303,105.39203230005596,18
134551,134551,129026.58000000005,3999.5453846155774,117.28131297676914,19
134397,134397,129266.14000000004,3955.072722517216,131.46003304924224,20
134584,134584,129483.78000000004,3942.287748452632,142.5975278082578,21
134043,134043,129698.00000000004,3892.8889375372255,155.4277460095338,22
136573,136573,129960.14000000004,3905.6910938270175,151.0300741791167,23
137196,137196,130243.82000000004,3905.8378086653397,131.0159253425575,24
134194,134194,130483.42000000004,3771.0315675686998,129.63319436082287,25
135455,135455,130702.10000000003,3735.7972709984715,156.32596965573723,26
137255,137255,130930.02000000003,3780.7315878807913,169.40400452193538,27
137999,137999,131224.68000000002,3745.9007378198894,158.65800675893573,28
137654,137654,131521.42,3654.6763418392575,141.99873825785653,29
139137,139137,131791.94,3707.39234184886,116.05248556696053,30
140961,,131791.94,3707.39234184886,93.75996103992969,31
141739,,131791.94,3707.39234184886,92.99284929102913,32
142211,142211,132102.28,3911.4963174723266,104.61871782706085,33
142783,142783,132447.56,4073.738976223142,135.03368516774285,34
144116,144116,132796.74,4304.167830417347,206.86948921516742,35
145087,145087,133192.25999999998,4502.189288823782,293.6888423635662,36
146421,146421,133631.18,4696.51322020918,387.8695815346131,1
147135,147135,134053.63999999998,4936.07019706969,467.24016918062676,2
149250,149250,134496.13999999998,5275.172873034553,540.6147371417313,1
151148,151148,134938.59999999998,5707.775342460462,626.5160009054617,2
152092,152092,135356.37999999998,6165.21270643598,719.2938328970782,1
153224,153224,135834.39999999997,6590.777495864937,810.0997347542051,2
155491,155491,136419.87999999998,6998.093453620046,908.0367490319533,1
154544,154544,136977.11999999997,7303.14616761843,984.8219421873699,2
156588,156588,137546.47999999995,7689.898174202296,1059.882202634118,1
159245,159245,138143.43999999994,8177.188245748038,1148.494035521545,2
160123,160123,138724.31999999995,8671.382873429126,1235.3568690601398,1
160252,160252,139290.59999999995,9122.496656069543,1291.008485483149,2
162782,162782,139906.71999999994,9633.648914175774,1332.7443850671561,3
165380,165380,140553.71999999994,10218.637713589818,1375.7846010825626,1
165720,165720,141190.35999999996,10760.73616210342,1403.1389275538993,2
168150,168150,141899.51999999996,11330.60175672944,1423.6321131398565,3
169681,169681,142675.79999999996,11865.150997774968,1443.2933847135084,4
168472,168472,143440.35999999996,12264.385099563711,1421.340350472395,5
170833,170833,144277.03999999995,12670.879424822908,1377.3827719287553,6
174343,174343,145195.99999999994,13143.102869566248,1346.0369319609783,7
173729,173729,146098.07999999993,13517.325389055362,1310.5736793651822,8
177127,177127,147042.65999999992,13994.030155191207,1283.3577660787573,9
179774,179774,148020.69999999992,14528.362784911486,1284.8796918106423,10
180131,180131,148965.47999999992,15040.764342599121,1309.2647451601656,11
181848,181848,149933.79999999993,15559.1250011047,1345.284350549009,12
184196,184196,150956.99999999994,16087.469864462884,1397.5448716980254,13
183887,183887,151943.29999999993,16557.543068040064,1441.0978403409677,14
184799,184799,152957.07999999993,16980.986167876166,1452.1173861093716,15
187579,187579,154039.35999999993,17422.895410074696,1437.1937822599725,16
186301,186301,155072.31999999992,17770.47909701936,1392.3539986170551,17
187356,187356,156141.97999999992,18069.37329681365,1308.7271702091643,18
190628,190628,157303.93999999992,18378.990718110785,1224.3777929849207,1
188824,188824,158399.97999999992,18590.731701027868,1132.160010251959,2
189005,189005,159465.85999999993,18786.078721234047,1019.508953873353,1
190020,190020,160575.23999999993,18919.358714882565,899.6855139399289,2
188527,188527,161657.83999999994,18939.116245865407,774.7285750900471,1
188076,188076,162727.67999999993,18890.31746312388,638.9997765582896,1
190330,190330,163853.41999999993,18824.408287210605,505.2236622620525,1
190751,190751,164936.97999999992,18782.15682448646,384.4703677207844,1
189376,189376,165980.57999999993,18661.03932163489,263.60143943679714,1
191056,191056,167117.81999999992,18420.338600243038,183.5021254617587,2
190736,190736,168223.43999999992,18143.65353743297,221.6049590298356,3
187954,187954,169237.41999999993,17798.006143487088,332.76105185290527,4
188756,188756,170252.55999999994,17431.04228342081,459.08437226273196,1
190157,190157,171302.61999999994,17012.025788706185,572.221808458231,2
188604,188604,172291.95999999993,16544.619687330516,686.6530396359626,1
189669,189669,173241.11999999994,16148.234677066239,795.5092640284169,2
189805,189805,174181.55999999994,15710.326436023051,890.7711541410149,1
187491,187491,175049.05999999994,15215.974052830297,989.1611047351652,2
188444,188444,175916.19999999995,14710.809704431806,1089.8857550299545,1
